"timestamp","source_country","tz"
"2015-03-12T15:59:16.718901Z","CN","Asia/Shanghai"
"2015-03-12T16:00:48.841746Z","FR","Europe/Paris"
"2015-03-12T16:02:26.731256Z","CN","Asia/Shanghai"
"2015-03-12T16:02:38.469907Z","US","America/Chicago"
"2015-03-12T16:03:22.201903Z","CN","Asia/Shanghai"
"2015-03-12T16:03:45.984616Z","CN","Asia/Shanghai"
"2015-03-12T16:04:43.666636Z","CN","Asia/Shanghai"
"2015-03-12T16:06:31.386153Z","CN","Asia/Shanghai"
"2015-03-12T16:06:58.522569Z","CN","Asia/Shanghai"
"2015-03-12T16:15:02.060873Z","CN","Asia/Shanghai"
"2015-03-12T16:16:14.840765Z","CN","Asia/Shanghai"
"2015-03-12T16:17:32.472766Z","CN","Asia/Shanghai"
"2015-03-12T16:17:42.660169Z","CN","Asia/Shanghai"
"2015-03-12T16:17:42.942282Z","CN","Asia/Shanghai"
"2015-03-12T16:18:00.215390Z","CN","Asia/Shanghai"
"2015-03-12T16:18:10.674518Z","FR","Europe/Paris"
"2015-03-12T16:19:10.508163Z","CN","Asia/Shanghai"
"2015-03-12T16:20:31.612802Z","CN","Asia/Shanghai"
"2015-03-12T16:22:56.281403Z","CN","Asia/Shanghai"
"2015-03-12T16:24:22.587143Z","CN","Asia/Shanghai"
"2015-03-12T16:24:23.759668Z","CN","Asia/Shanghai"
"2015-03-12T16:24:25.080430Z","CN","Asia/Shanghai"
"2015-03-12T16:28:53.326786Z","CN","Asia/Shanghai"
"2015-03-12T16:29:00.824328Z","CN","Asia/Shanghai"
"2015-03-12T16:29:03.422112Z","CN","Asia/Shanghai"
"2015-03-12T16:29:28.582218Z","CN","Asia/Shanghai"
"2015-03-12T16:30:29.778506Z","IT","Europe/Rome"
"2015-03-12T16:30:35.701304Z","CN","Asia/Shanghai"
"2015-03-12T16:31:51.011663Z","CN","Asia/Shanghai"
"2015-03-12T16:33:08.520625Z","CN","Asia/Shanghai"
"2015-03-12T16:33:25.067343Z","CN","Asia/Shanghai"
"2015-03-12T16:35:32.171551Z","CN","Asia/Shanghai"
"2015-03-12T16:35:39.276082Z","CN","Asia/Shanghai"
"2015-03-12T16:35:40.947507Z","CN","Asia/Shanghai"
"2015-03-12T16:37:09.928779Z","CN","Asia/Shanghai"
"2015-03-12T16:37:24.496072Z","CN","Asia/Shanghai"
"2015-03-12T16:38:24.867761Z","CN","Asia/Shanghai"
"2015-03-12T16:39:08.278436Z","CN","Asia/Shanghai"
"2015-03-12T16:39:09.110590Z","CN","Asia/Shanghai"
"2015-03-12T16:40:51.264920Z","US","America/Chicago"
"2015-03-12T16:40:57.724354Z","CN","Asia/Shanghai"
"2015-03-12T16:41:09.502804Z","CN","Asia/Shanghai"
"2015-03-12T16:42:25.100376Z","CN","Asia/Shanghai"
"2015-03-12T16:43:39.902163Z","CN","Asia/Shanghai"
"2015-03-12T16:43:52.493577Z","US","America/Los_Angeles"
"2015-03-12T16:44:21.683350Z","CN","Asia/Shanghai"
"2015-03-12T16:44:22.370334Z","CN","Asia/Shanghai"
"2015-03-12T16:45:44.806697Z","CN","Asia/Shanghai"
"2015-03-12T16:46:00.765682Z","CN","Asia/Shanghai"
"2015-03-12T16:46:04.407999Z","CN","Asia/Shanghai"
"2015-03-12T16:46:49.208221Z","CN","Asia/Shanghai"
"2015-03-12T16:47:06.942701Z","CN","Asia/Shanghai"
"2015-03-12T16:48:21.586128Z","CN","Asia/Shanghai"
"2015-03-12T16:48:57.659817Z","CN","Asia/Shanghai"
"2015-03-12T16:49:02.918696Z","CN","Asia/Shanghai"
"2015-03-12T16:49:58.502815Z","CN","Asia/Shanghai"
"2015-03-12T16:49:58.828614Z","CN","Asia/Shanghai"
"2015-03-12T16:50:15.665993Z","CN","Asia/Shanghai"
"2015-03-12T16:50:18.537878Z","CN","Asia/Shanghai"
"2015-03-12T16:50:46.103407Z","CN","Asia/Shanghai"
"2015-03-12T16:51:04.639733Z","CN","Asia/Shanghai"
"2015-03-12T16:51:23.682500Z","CN","Asia/Shanghai"
"2015-03-12T16:51:58.252137Z","CN","Asia/Shanghai"
"2015-03-12T16:52:29.080510Z","CN","Asia/Shanghai"
"2015-03-12T16:52:38.482218Z","CN","Asia/Shanghai"
"2015-03-12T16:53:04.741343Z","CN","Asia/Shanghai"
"2015-03-12T16:53:15.207418Z","CN","Asia/Shanghai"
